epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,3422.27,0.59862,0.30502,0.00725,0.9637,0.92575,0.95191,0.70876,0.82375,0.32116,0.01334,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,3501.37,0.61651,0.31145,0.00721,0.95388,0.9277,0.9573,0.71125,0.79102,0.30999,0.012,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,3580.56,0.59531,0.30749,0.00714,0.93111,0.93241,0.95874,0.70816,0.83952,0.33701,0.01381,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,3658.2,0.5923,0.29743,0.00696,0.94239,0.92649,0.96582,0.70882,0.81829,0.32604,0.01317,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,3736.17,0.59876,0.31658,0.00709,0.96774,0.91515,0.96054,0.70987,0.79644,0.32454,0.01177,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,3813.6,0.58493,0.29196,0.00694,0.96637,0.92703,0.95606,0.70706,0.83807,0.32675,0.01364,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,3891.72,0.58865,0.29572,0.00687,0.96007,0.92552,0.95696,0.71215,0.8098,0.30176,0.01267,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,3971.35,0.58628,0.29653,0.00672,0.92409,0.9363,0.95092,0.70892,0.79729,0.32339,0.01152,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,4050.91,0.59446,0.29789,0.00699,0.96983,0.93138,0.96705,0.71947,0.7829,0.28909,0.0116,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,4130.41,0.57022,0.29744,0.00668,0.96766,0.94868,0.97229,0.72203,0.7728,0.25544,0.01111,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,4209.59,0.56058,0.27554,0.00668,0.96915,0.92365,0.95917,0.71352,0.7943,0.29845,0.01154,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,4286.8,0.57836,0.28557,0.00675,0.98166,0.92512,0.96633,0.71733,0.86916,0.33884,0.0157,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,4363.94,0.57629,0.28361,0.00675,0.97884,0.91729,0.95982,0.71728,0.78483,0.29359,0.01146,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,4442.12,0.55946,0.27339,0.00656,0.95786,0.91974,0.95147,0.71677,0.77429,0.29983,0.01117,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,4520.77,0.56259,0.27945,0.00644,0.96461,0.94099,0.97601,0.71644,0.7902,0.25883,0.01158,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,4598.57,0.54342,0.27091,0.0064,0.98042,0.92186,0.96948,0.72112,0.76488,0.26439,0.01104,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,4675.71,0.54975,0.26896,0.00642,0.97541,0.92183,0.96395,0.71894,0.7999,0.28406,0.01257,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,4752.83,0.52888,0.25536,0.00644,0.96834,0.9374,0.9556,0.7204,0.77872,0.28816,0.01157,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,4831.35,0.53994,0.2626,0.00616,0.96526,0.93157,0.96195,0.71711,0.78541,0.29041,0.0117,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,4908.38,0.52789,0.25497,0.00624,0.98268,0.92154,0.9631,0.71816,0.78196,0.29912,0.01159,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,4985.79,0.5623,0.28304,0.00642,0.98394,0.91282,0.9666,0.72208,0.7641,0.28275,0.01102,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,5062.82,0.53957,0.25622,0.00614,0.97154,0.92559,0.9585,0.7177,0.77193,0.30946,0.01144,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,5140.08,0.52263,0.2511,0.00629,0.96562,0.929,0.96237,0.71057,0.78287,0.30799,0.01144,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,5217.49,0.53235,0.25772,0.00611,0.98461,0.90164,0.96136,0.71379,0.78711,0.30767,0.01136,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,5294.75,0.54017,0.25654,0.00609,0.96493,0.92422,0.95475,0.716,0.78338,0.32036,0.01162,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
